	SRR1039508	SRR1039509	SRR1039512	SRR1039513	SRR1039516	SRR1039517	SRR1039520	SRR1039521
CACNB2	8.0615	11.0874	8.7648	11.4211	7.5314	10.4208	8.3839	11.1387
SPARCL1	7.6981	12.5668	8.1989	11.9341	8.0809	11.8471	8.1053	12.2544
DUSP1	11.1037	13.8656	11.8015	13.8874	11.0966	13.5649	11.2295	13.9315
SAMHD1	12.3978	15.6358	12.5914	16.0039	12.0653	15.0475	12.5045	16.159
MAOA	10.512	13.4282	10.7258	13.3368	10.7755	13.5767	9.6186	12.9585
GPX3	11.5652	15.5149	13.1739	16.2926	12.0912	14.9266	12.5534	15.7944
STEAP2	12.0776	13.5697	12.2407	13.7401	11.4125	13.1112	12.0276	13.4651
NEXN	12.555	14.4566	12.9895	14.42	12.5432	14.2667	12.9411	14.2537
MT2A	12.4171	14.1235	11.9769	13.656	11.8275	14.0436	12.0035	13.4683
ADAMTS1	14.3453	16.7269	15.2917	16.8776	14.7781	16.8791	15.4846	17.0263
FGD4	10.2977	12.0855	10.4075	12.0869	10.3795	12.1453	10.6752	12.5737
PDPN	11.5253	13.0531	10.5473	11.8687	9.1841	10.8661	10.2741	11.5271
VCAM1	11.562	7.5475	11.7763	7.5412	11.8317	8.3661	11.1242	6.2008
PER1	9.2071	12.1273	8.6846	11.4211	9.268	11.6326	8.6915	11.6695
SORT1	12.1961	13.7209	13.08	14.5971	12.7312	14.8153	12.4307	14.3071
KLF15	7.871	11.9446	7.2822	11.1954	6.6329	9.8682	6.908	11.5969
KCTD12	13.9374	11.2704	13.7866	10.4347	13.8001	11.3795	13.8942	10.4375
ADAM12	12.8467	10.667	13.1794	10.5484	12.9301	10.9494	11.9044	9.6761
PRSS35	10.0946	6.9617	11.3824	8.2274	10.9162	7.8955	10.5677	7.1271
CCDC69	10.3165	13.534	11.0872	13.0692	10.0518	12.7497	10.9286	12.9398
CXCL12	17.3002	14.7916	16.1455	13.8862	17.187	14.9632	17.0884	14.6615
DNM1	12.3493	10.2858	11.854	9.5638	11.8694	9.7986	12.3727	10.0219
ACSS1	9.8786	11.4109	10.0596	11.3837	8.9771	10.728	10.3176	11.5293
CCKAR	11.4591	9.2856	12.8068	9.9323	10.4111	7.7233	13.8564	11.0653
TRNP1	10	11.809	10.3981	11.9341	10.2585	11.8804	10.9413	12.1625
PTX3	12.8467	14.9048	13.8606	14.9956	12.4468	14.5658	13.5406	15.4919
DNAJB4	11.2	12.3548	11.4777	12.4593	11.3096	12.5418	11.1463	12.0758
SOX4	13.003	10.2405	12.563	9.2762	12.8889	10.7034	12.6417	9.4309
ADARB1	9.594	11.5039	11.7006	12.9514	11.4153	13.7215	10.8309	12.8636
STOM	14.3011	15.5151	14.3418	15.0748	14.2159	15.3007	14.2179	15.2031
ERRFI1	11.4317	13.1856	11.8902	13.8235	11.9798	13.8675	11.3754	13.7251
SYNPO2	13.385	14.7531	13.9896	14.8344	13.8449	15.4175	12.8941	14.3129
INHBB	6.6711	9.7364	7.5546	9.9759	8.3652	12.2555	7.64	10.105
NNMT	13.0666	15.1416	13.3908	14.6235	13.3442	15.0177	12.5845	14.581
WNT2	10.8612	7.1546	12.178	8.4775	8.1642	5.6052	10.3675	6.7524
FSTL3	11.8678	13.6446	11.6125	12.6734	10.8818	12.2304	11.7248	13.0153
RASL11A	9.8685	11.7442	10.553	12.1718	8.9771	10.6391	10.1437	12.3273
