V1	V2
GDF15	FST
GDF15	FST
FST	CRISPLD2
FST	CRISPLD2
COL1A1	WNT2
COL1A1	WNT2
ADAMTS1	TIMP4
ADAMTS1	TIMP4
COL1A1	VCAM1
COL1A1	VCAM1
PDPN	VCAM1
PDPN	VCAM1
FSTL3	INHBB
FSTL3	INHBB
FST	INHBB
FST	INHBB
GDF15	PTX3
GDF15	PTX3
VCAM1	PTX3
VCAM1	PTX3
CRISPLD2	CCDC69
CRISPLD2	CCDC69
SYNPO2	CCDC69
SYNPO2	CCDC69
FSTL3	ADAM12
FSTL3	ADAM12
COL1A1	ADAM12
COL1A1	ADAM12
FST	ADAM12
FST	ADAM12
TIMP4	ADAM12
TIMP4	ADAM12
COL1A1	COL11A1
COL1A1	COL11A1
COL1A1	ADAMTS14
COL1A1	ADAMTS14
GDF15	ADAMTS14
GDF15	ADAMTS14
ADAMTS1	ADAMTS14
ADAMTS1	ADAMTS14
COL11A1	ADAMTS14
COL11A1	ADAMTS14
KLF15	FOXO1
KLF15	FOXO1
ZBTB16	FOXO1
ZBTB16	FOXO1
STEAP1	STEAP2
STEAP1	STEAP2
CACNB2	HSPA2
CACNB2	HSPA2
DNAJB4	HSPA2
DNAJB4	HSPA2
COL1A1	CXCL12
COL1A1	CXCL12
PDPN	CXCL12
PDPN	CXCL12
VCAM1	CXCL12
VCAM1	CXCL12
DNM1	CXCL12
DNM1	CXCL12
GDF15	CDKN1A
GDF15	CDKN1A
FOXO1	CDKN1A
FOXO1	CDKN1A
COL1A1	LAMA2
COL1A1	LAMA2
COL11A1	LAMA2
COL11A1	LAMA2
FST	SPARCL1
FST	SPARCL1
NEXN	FAM107A
NEXN	FAM107A
SPARCL1	FAM107A
SPARCL1	FAM107A
ACSS1	ACSL1
ACSS1	ACSL1
ADAM12	TJP2
ADAM12	TJP2
AMOT	TJP2
AMOT	TJP2
