*edges
PDHA1	PDHB	i 1	c 1.0	o 0.0
PDHA1	DLAT	i 1	c 1.0	o 0.0
DLST	OGDH	i 1	c 1.0	o 0.0
PDHB	DLD	i 1	c 1.0	o 0.0
DLST	DLD	i 1	c 1.0	o 0.0
SDHD	SDHC	i 1	c 1.0	o 0.0
PDHB	DLAT	i 1	c 1.0	o 0.0
SUCLG1	SUCLA2	i 1	c 1.0	o 0.0
SDHD	SDHB	i 1	c 1.0	o 0.0
SDHC	SDHA	i 1	c 1.0	o 0.0
DLAT	OGDH	i 1	c 1.0	o 0.0
ACLY	OGDH	i 1	c 1.0	o 0.0
DLAT	ACLY	i 1	c 1.0	o 0.0
DLAT	DLD	i 1	c 1.0	o 0.0
MDH1	ACLY	i 1	c 1.0	o 0.0
SDHA	ACLY	i 1	c 1.0	o 0.0
SDHB	SDHA	i 1	c 1.0	o 0.0
MDH2	ACLY	i 1	c 1.0	o 0.0
SDHB	SDHC	i 1	c 1.0	o 0.0
IDH3B	IDH3A	i 1	c 1.0	o 0.0
OGDH	DLD	i 1	c 1.0	o 0.0
PDHA2	DLAT	i 1	c 1.0	o 0.0
PDHB	PDHA2	i 1	c 1.0	o 0.0
SUCLG2	SUCLG1	i 1	c 1.0	o 0.0
SDHB	ACLY	i 1	c 1.0	o 0.0
IDH3A	IDH3G	i 1	c 1.0	o 0.0
ACLY	ACO2	i 1	c 1.0	o 0.0
CS	ACLY	i 1	c 1.0	o 0.0
SUCLG2	ACLY	i 1	c 1.0	o 0.0
OGDHL	ACLY	i 1	c 1.0	o 0.0
IDH3G	ACO2	i 1	c 1.0	o 0.0
OGDHL	DLST	i 1	c 1.0	o 0.0
SDHD	SDHA	i 1	c 1.0	o 0.0
PDHA1	DLD	i 1	c 1.0	o 0.0
SUCLA2	ACLY	i 1	c 1.0	o 0.0
IDH2	IDH3G	i 1	c 1.0	o 0.0
IDH2	IDH3A	i 1	c 1.0	o 0.0
IDH3A	ACO2	i 1	c 1.0	o 0.0
DLST	ACLY	i 1	c 1.0	o 0.0
ACO1	ACLY	i 1	c 1.0	o 0.0
CS	MDH2	i 1	c 1.0	o 0.0
IDH3B	IDH2	i 1	c 1.0	o 0.0
FH	MDH2	i 1	c 1.0	o 0.0
SDHC	ACLY	i 1	c 1.0	o 0.0
SUCLG1	ACLY	i 1	c 1.0	o 0.0
CS	DLAT	i 1	c 1.0	o 0.0
DLST	PDHB	i 1	c 1.0	o 0.0
PDHA1	DLST	i 1	c 1.0	o 0.0
IDH3B	ACO2	i 1	c 1.0	o 0.0
IDH1	IDH3G	i 1	c 1.0	o 0.0
IDH3B	IDH1	i 1	c 1.0	o 0.0
CS	ACO2	i 1	c 1.0	o 0.0
SUCLG1	SDHA	i 1	c 1.0	o 0.0
MDH1	CS	i 1	c 1.0	o 0.0
CS	ACO1	i 1	c 1.0	o 0.0
SUCLG1	SDHB	i 1	c 1.0	o 0.0
SUCLA2	SDHA	i 1	c 1.0	o 0.0
SUCLG2	SDHA	i 1	c 1.0	o 0.0
