#node	x_position	y_position	color	annotation
MDH2	0.575614754098361	0.639805825242719	rgb(239,195,117)	Malate dehydrogenase 2, NAD (mitochondrial)
FH	0.502766393442623	0.777427184466019	rgb(205,239,117)	Fumarate hydratase; Also acts as a tumor suppressor
PCK2	0.735143442622951	0.900849514563107	rgb(178,171,0)	Phosphoenolpyruvate carboxykinase 2 (mitochondrial); Catalyzes the conversion of oxaloacetate (OAA) to phosphoenolpyruvate (PEP), the rate-limiting step in the metabolic pathway that produces glucose from lactate and other precursors derived from the citric acid cycle
DLD	0.51844262295082	0.47378640776699	rgb(255,0,0)	Dihydrolipoamide dehydrogenase; Lipoamide dehydrogenase is a component of the glycine cleavage system as well as of the alpha-ketoacid dehydrogenase complexes. Involved in the hyperactivation of spermatazoa during capacitation and in the spermatazoal acrosome reaction
SUCLG1	0.406864754098361	0.619053398058252	rgb(117,239,185)	succinate-CoA ligase, alpha subunit; Catalyzes the ATP- or GTP-dependent ligation of succinate and CoA to form succinyl-CoA. The nature of the beta subunit determines the nucleotide specificity (By similarity)
PC	0.721311475409836	0.610315533980583	rgb(117,239,205)	Pyruvate carboxylase; Pyruvate carboxylase catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second. Catalyzes in a tissue specific manner, the initial reactions of glucose (liver, kidney) and lipid (adipose tissue, liver, brain) synthesis from pyruvate
ACO1	0.242725409836066	0.353640776699029	rgb(239,156,117)	Aconitase 1, soluble; Iron sensor. Binds a 4Fe-4S cluster and functions as aconitase when cellular iron levels are high. Functions as mRNA binding protein that regulates uptake, sequestration and utilization of iron when cellular iron levels are low. Binds to iron-responsive elements (IRES) in target mRNA species when iron levels are low. Binding of a 4Fe-4S cluster precludes RNA binding
CS	0.489856557377049	0.584101941747573	rgb(225,239,117)	Citrate synthase
SDHA	0.433606557377049	0.790533980582524	rgb(101,199,255)	Succinate dehydrogenase complex, subunit A, flavoprotein (Fp); Flavoprotein (FP) subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q) (PubMed:24781757). Can act as a tumor suppressor (PubMed:20484225)
OGDH	0.483401639344262	0.340533980582524	rgb(14,178,0)	Oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide); The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2). It contains multiple copies of three enzymatic components: 2- oxoglutarate dehydrogenase (E1), dihydrolipoamide succinyltransferase (E2) and lipoamide dehydrogenase (E3)
IDH2	0.379200819672131	0.104611650485437	rgb(239,215,117)	Isocitrate dehydrogenase 2 (NADP+), mitochondrial; Plays a role in intermediary metabolism and energy production. It may tightly associate or interact with the pyruvate dehydrogenase complex
